Order_ID,Order_Date,Region,City,Segment,Channel,Category,Subcategory,Product_ID,Customer_ID,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Quarter
SO00018,2023-09-03,South,Kochi,Consumer,Online,Technology,Accessories,P10025,C1051,10,18330.76,0.2287,141381.17,90706.85,50674.32,0.35842340249412274,2023,9,Sep,Q3
SO00019,2024-07-28,Central,Indore,Consumer,Online,Office Supplies,Binders,P10047,C1350,6,362.28,0.2259,1682.59,964.45,718.14,0.4268062926797378,2024,7,Jul,Q3
SO00020,2025-05-16,West,Ahmedabad,Home Office,Retail Store,Office Supplies,Paper,P10009,C1127,1,546.86,0.0488,520.16,288.16,232.0,0.44601661027376194,2025,5,May,Q2
SO00021,2025-10-09,North,Lucknow,Consumer,Retail Store,Office Supplies,Pens,P10067,C1247,9,559.56,0.308,3484.89,2280.2,1204.69,0.34568953395946506,2025,10,Oct,Q4
SO00022,2023-06-03,South,Hyderabad,Consumer,Online,Office Supplies,Paper,P10034,C1100,1,1088.75,0.1998,871.19,485.75,385.44,0.4424293208140589,2023,6,Jun,Q2
SO00023,2025-01-31,Central,Raipur,Corporate,Online,Furniture,Storage,P10012,C1427,7,11489.71,0.4629,43197.27,31499.14,11698.14,0.2708073913004225,2025,1,Jan,Q1
SO00024,2025-12-02,North,Chandigarh,Consumer,Online,Technology,Accessories,P10058,C1196,3,30119.39,0.1559,76267.5,54736.15,21531.35,0.2823135673779788,2025,12,Dec,Q4
SO00025,2024-02-17,North,Delhi,Consumer,Online,Furniture,Chairs,P10055,C1369,8,3941.44,0.1532,26700.29,18981.27,7719.02,0.28909873263548824,2024,2,Feb,Q1
SO00026,2023-10-06,West,Mumbai,Corporate,Online,Technology,Phones,P10083,C1564,6,18108.29,0.1914,87853.07,57490.73,30362.34,0.34560363115369785,2023,10,Oct,Q4
SO00027,2023-05-24,East,Kolkata,Corporate,Online,Technology,Phones,P10074,C1009,7,19738.91,0.181,113166.25,76750.05,36416.19,0.32179373267206435,2023,5,May,Q2
SO00028,2025-08-11,West,Mumbai,Consumer,Online,Technology,Accessories,P10031,C1070,2,11561.08,0.2398,17576.62,11452.48,6124.14,0.3484253514043087,2025,8,Aug,Q3
SO00029,2024-03-20,South,Hyderabad,Home Office,Online,Office Supplies,Binders,P10062,C1348,2,715.77,0.223,1112.36,603.76,508.6,0.45722607788845343,2024,3,Mar,Q1
SO00030,2024-05-19,South,Chennai,Corporate,Online,Technology,Printers,P10003,C1566,5,20890.73,0.343,68628.88,42308.33,26320.55,0.38352002830295345,2024,5,May,Q2
SO00031,2024-10-17,West,Surat,Home Office,Distributor,Office Supplies,Binders,P10100,C1041,8,507.73,0.55,1827.83,1044.31,783.52,0.42866130876503833,2024,10,Oct,Q4
SO00032,2024-05-16,North,Delhi,Home Office,Retail Store,Technology,Phones,P10011,C1177,3,26896.96,0.3154,55243.0,35294.04,19948.96,0.3611129011820502,2024,5,May,Q2
SO00033,2025-05-02,West,Pune,Home Office,Distributor,Furniture,Bookcases,P10023,C1437,9,4434.21,0.1863,32471.65,24308.46,8163.19,0.25139437016597554,2025,5,May,Q2
SO00034,2025-09-23,West,Pune,Consumer,Online,Office Supplies,Pens,P10039,C1072,1,932.48,0.2436,705.3,457.99,247.31,0.3506451155536651,2025,9,Sep,Q3
SO00035,2023-06-03,East,Bhubaneswar,Corporate,Distributor,Furniture,Bookcases,P10038,C1103,5,7063.69,0.538,16318.39,12884.62,3433.77,0.21042333220372844,2023,6,Jun,Q2
SO00036,2025-02-02,Central,Nagpur,Consumer,Online,Furniture,Tables,P10029,C1133,2,9010.34,0.0962,16287.61,10715.54,5572.07,0.34210482692058564,2025,2,Feb,Q1
SO00037,2025-06-18,East,Bhubaneswar,Consumer,Online,Office Supplies,Paper,P10080,C1183,6,341.79,0.2457,1546.89,891.95,654.93,0.4233849853577177,2025,6,Jun,Q2
SO00038,2023-04-05,South,Hyderabad,Consumer,Online,Furniture,Storage,P10021,C1534,3,9692.84,0.2637,21410.88,14906.41,6504.47,0.3037927446232943,2023,4,Apr,Q2
SO00039,2025-04-17,North,Chandigarh,Home Office,Online,Furniture,Tables,P10026,C1337,9,8393.85,0.2624,55718.71,40221.94,15496.77,0.27812506786320074,2025,4,Apr,Q2
SO00040,2025-03-14,West,Surat,Home Office,Retail Store,Office Supplies,Paper,P10003,C1007,6,1107.56,0.141,5708.31,3343.55,2364.75,0.4142644670664347,2025,3,Mar,Q1
SO00041,2025-07-07,East,Guwahati,Home Office,Online,Furniture,Chairs,P10068,C1025,9,6533.73,0.5293,27678.31,20185.82,7492.49,0.2706989696986557,2025,7,Jul,Q3
SO00042,2023-03-08,West,Surat,Corporate,Retail Store,Furniture,Storage,P10070,C1315,8,5855.02,0.1787,38470.56,25431.57,13038.99,0.338934239584763,2023,3,Mar,Q1
SO00043,2024-10-23,South,Chennai,Consumer,Online,Technology,Printers,P10079,C1004,8,5481.79,0.3584,28138.2,17422.04,10716.16,0.3808402811835867,2024,10,Oct,Q4
SO00044,2024-10-07,Central,Nagpur,Corporate,Distributor,Furniture,Tables,P10090,C1001,8,11667.03,0.2215,72658.79,50740.16,21918.64,0.30166535941487604,2024,10,Oct,Q4
SO00045,2024-10-15,South,Hyderabad,Home Office,Online,Furniture,Bookcases,P10065,C1596,1,6592.68,0.1327,5717.52,4175.71,1541.82,0.26966586911807916,2024,10,Oct,Q4
SO00046,2023-11-25,West,Ahmedabad,Corporate,Retail Store,Furniture,Storage,P10022,C1320,1,9651.37,0.3971,5818.4,3864.1,1954.3,0.33588271689811633,2023,11,Nov,Q4
SO00047,2025-05-22,West,Ahmedabad,Consumer,Retail Store,Office Supplies,Pens,P10097,C1422,10,826.01,0.3413,5440.79,3622.57,1818.23,0.3341849253509141,2025,5,May,Q2
SO00048,2025-11-12,East,Bhubaneswar,Home Office,Online,Furniture,Chairs,P10015,C1448,5,9100.82,0.3859,27943.28,20834.57,7108.71,0.254397837333341,2025,11,Nov,Q4
SO00049,2024-04-22,Central,Nagpur,Corporate,Retail Store,Office Supplies,Binders,P10047,C1159,7,804.93,0.1017,5061.43,2926.79,2134.64,0.4217464234415965,2024,4,Apr,Q2
SO00050,2023-08-16,East,Guwahati,Corporate,Online,Furniture,Bookcases,P10020,C1069,4,10957.82,0.3922,26638.48,21429.48,5209.0,0.19554419020905098,2023,8,Aug,Q3
SO00051,2023-01-11,Central,Indore,Consumer,Online,Technology,Laptops,P10092,C1127,10,23191.5,0.55,104361.77,72287.17,32074.6,0.3073405136766078,2023,1,Jan,Q1
SO00052,2025-10-10,North,Chandigarh,Home Office,Online,Technology,Phones,P10057,C1436,5,22367.78,0.4492,61605.83,40290.03,21315.8,0.34600296757628296,2025,10,Oct,Q4
SO00053,2023-04-27,West,Pune,Corporate,Distributor,Technology,Printers,P10071,C1025,7,30382.83,0.1372,183505.62,111453.71,72051.91,0.3926414351778436,2023,4,Apr,Q2
SO00054,2024-12-10,North,Lucknow,Corporate,Retail Store,Technology,Phones,P10049,C1360,2,15286.53,0.3077,21165.22,12915.15,8250.07,0.3897937276342981,2024,12,Dec,Q4
SO00055,2023-11-23,East,Bhubaneswar,Consumer,Retail Store,Technology,Accessories,P10094,C1114,1,21783.83,0.1003,19599.79,10590.34,9009.45,0.45967074137018815,2023,11,Nov,Q4
SO00056,2025-08-04,North,Chandigarh,Consumer,Retail Store,Technology,Phones,P10072,C1443,10,22419.98,0.3669,141941.11,100223.61,41717.5,0.29390709992334146,2025,8,Aug,Q3
SO00057,2025-12-13,South,Chennai,Corporate,Online,Furniture,Bookcases,P10014,C1469,3,10575.35,0.2088,25101.99,19383.0,5718.99,0.2278301441439503,2025,12,Dec,Q4
SO00058,2025-01-04,South,Hyderabad,Consumer,Online,Technology,Laptops,P10067,C1386,3,10979.46,0.5327,15392.15,10885.41,4506.74,0.29279470379381695,2025,1,Jan,Q1
SO00059,2024-04-15,North,Chandigarh,Consumer,Retail Store,Office Supplies,Paper,P10081,C1115,5,956.97,0.1546,4045.26,2340.62,1704.65,0.42139442211378253,2024,4,Apr,Q2
SO00060,2024-06-09,West,Ahmedabad,Consumer,Online,Furniture,Chairs,P10017,C1034,4,11312.71,0.3468,29559.77,21451.7,8108.08,0.27429442110002883,2024,6,Jun,Q2
SO00061,2025-09-24,West,Ahmedabad,Consumer,Online,Technology,Laptops,P10062,C1476,6,16016.58,0.1944,77413.32,50341.43,27071.89,0.34970583873679617,2025,9,Sep,Q3
SO00062,2024-09-25,East,Patna,Corporate,Online,Technology,Laptops,P10054,C1227,3,17963.98,0.0768,49751.16,30857.16,18894.0,0.3797700395327466,2024,9,Sep,Q3
SO00063,2023-04-08,South,Kochi,Corporate,Online,Office Supplies,Binders,P10017,C1296,4,976.56,0.2452,2948.37,2015.01,933.36,0.31656813764893826,2023,4,Apr,Q2
SO00064,2023-03-02,West,Surat,Consumer,Online,Furniture,Bookcases,P10083,C1216,3,10085.62,0.1832,24713.1,17541.83,7171.27,0.2901809161942452,2023,3,Mar,Q1
SO00065,2024-10-22,West,Mumbai,Home Office,Online,Office Supplies,Envelopes,P10007,C1335,10,939.13,0.2915,6654.18,4639.75,2014.43,0.30273151612971094,2024,10,Oct,Q4
SO00066,2023-05-17,North,Chandigarh,Home Office,Online,Technology,Accessories,P10045,C1188,4,18928.03,0.3568,48695.68,31126.16,17569.52,0.3608024366843219,2023,5,May,Q2
SO00067,2023-05-11,West,Surat,Consumer,Retail Store,Technology,Accessories,P10055,C1450,1,35479.82,0.55,15965.92,11061.66,4904.26,0.30717052321444677,2023,5,May,Q2
SO00068,2025-01-08,Central,Raipur,Consumer,Online,Technology,Accessories,P10084,C1359,3,21839.77,0.2223,50952.66,30140.74,20811.92,0.40845600602598564,2025,1,Jan,Q1
SO00069,2024-01-24,West,Surat,Consumer,Online,Technology,Phones,P10062,C1011,2,9237.72,0.0942,16734.29,10883.49,5850.8,0.34962941361718963,2024,1,Jan,Q1
SO00070,2023-08-14,North,Chandigarh,Consumer,Distributor,Office Supplies,Pens,P10099,C1521,5,865.38,0.135,3742.76,2428.07,1314.69,0.35126217016319505,2023,8,Aug,Q3
SO00071,2025-11-09,Central,Bhopal,Consumer,Online,Technology,Laptops,P10009,C1541,8,21425.08,0.55,77130.29,47857.29,29273.01,0.37952677216693986,2025,11,Nov,Q4
SO00072,2025-07-09,Central,Nagpur,Corporate,Retail Store,Technology,Accessories,P10048,C1316,2,10459.59,0.0863,19113.15,14158.16,4954.99,0.25924507472603936,2025,7,Jul,Q3
SO00073,2025-08-30,Central,Bhopal,Consumer,Online,Office Supplies,Binders,P10080,C1147,3,767.85,0.55,1036.6,622.8,413.8,0.3991896584989389,2025,8,Aug,Q3
SO00074,2023-04-02,Central,Bhopal,Consumer,Online,Office Supplies,Paper,P10053,C1363,10,985.81,0.1342,8534.96,4913.88,3621.07,0.42426326544002557,2023,4,Apr,Q2
SO00075,2023-03-23,West,Mumbai,Consumer,Online,Office Supplies,Paper,P10096,C1233,1,632.38,0.2976,444.16,244.21,199.95,0.45017561239193077,2023,3,Mar,Q1
SO00076,2025-09-20,South,Kochi,Corporate,Retail Store,Furniture,Tables,P10082,C1474,4,8024.75,0.213,25261.04,17392.09,7868.95,0.31150538536814,2025,9,Sep,Q3
SO00077,2023-11-02,Central,Bhopal,Corporate,Online,Furniture,Storage,P10039,C1489,7,11398.34,0.2125,62836.92,45106.77,17730.15,0.2821613471825163,2023,11,Nov,Q4
SO00078,2025-06-05,West,Pune,Consumer,Retail Store,Technology,Printers,P10001,C1387,3,26291.33,0.3039,54906.92,40340.45,14566.47,0.26529388281112837,2025,6,Jun,Q2
SO00079,2024-07-23,Central,Raipur,Consumer,Distributor,Technology,Phones,P10027,C1591,2,21457.8,0.3424,28219.81,18756.23,9463.59,0.3353527185335408,2024,7,Jul,Q3
SO00080,2023-07-18,West,Surat,Home Office,Distributor,Technology,Phones,P10002,C1501,9,12587.57,0.3479,73874.63,48321.57,25553.06,0.3458976376599111,2023,7,Jul,Q3
SO00081,2024-08-06,South,Chennai,Consumer,Retail Store,Furniture,Storage,P10032,C1046,6,11109.98,0.1914,53903.67,38694.91,15208.76,0.28214702264242864,2024,8,Aug,Q3
SO00082,2024-08-14,East,Patna,Corporate,Online,Technology,Phones,P10015,C1122,1,16216.3,0.3336,10806.23,6995.42,3810.81,0.35264935134639924,2024,8,Aug,Q3
SO00083,2025-09-20,North,Chandigarh,Corporate,Retail Store,Furniture,Storage,P10007,C1251,9,13120.55,0.2559,87868.53,65776.87,22091.67,0.2514173163019798,2025,9,Sep,Q3
SO00084,2024-04-03,Central,Nagpur,Corporate,Online,Furniture,Tables,P10019,C1243,9,7934.12,0.1306,62084.12,47704.11,14380.0,0.2316212261686241,2024,4,Apr,Q2
SO00085,2025-01-19,South,Kochi,Consumer,Online,Technology,Accessories,P10097,C1207,2,25339.54,0.0688,47189.93,29532.26,17657.66,0.37418279705013335,2025,1,Jan,Q1
SO00086,2025-06-21,East,Kolkata,Consumer,Distributor,Office Supplies,Pens,P10098,C1250,4,1135.92,0.2487,3413.63,2483.69,929.94,0.27241968227370866,2025,6,Jun,Q2
SO00087,2024-07-31,East,Bhubaneswar,Consumer,Retail Store,Office Supplies,Pens,P10042,C1599,3,1298.67,0.3649,2474.19,1358.7,1115.5,0.4508546231291857,2024,7,Jul,Q3
SO00088,2025-07-28,South,Chennai,Home Office,Online,Furniture,Chairs,P10066,C1028,6,8100.34,0.3497,31608.32,20283.46,11324.85,0.3582869953227505,2025,7,Jul,Q3
SO00089,2023-09-18,South,Hyderabad,Consumer,Online,Office Supplies,Envelopes,P10057,C1513,10,334.31,0.4266,1916.77,1074.8,841.97,0.4392650135384006,2023,9,Sep,Q3
SO00090,2024-07-29,South,Bengaluru,Corporate,Retail Store,Technology,Accessories,P10002,C1334,1,24520.77,0.2986,17198.06,11644.6,5553.47,0.3229125843263717,2024,7,Jul,Q3
SO00091,2025-08-26,East,Kolkata,Corporate,Online,Office Supplies,Paper,P10050,C1217,5,1363.25,0.2222,5301.56,3024.06,2277.5,0.42959053561593186,2025,8,Aug,Q3
SO00092,2025-11-28,East,Guwahati,Consumer,Retail Store,Furniture,Tables,P10047,C1086,4,6106.91,0.4082,14455.94,11653.39,2802.55,0.19386840288490406,2025,11,Nov,Q4
SO00093,2023-11-07,Central,Raipur,Consumer,Retail Store,Technology,Laptops,P10048,C1053,8,19346.57,0.2415,117397.11,81453.44,35943.67,0.3061716766281555,2023,11,Nov,Q4
SO00094,2025-12-28,East,Kolkata,Home Office,Online,Technology,Laptops,P10004,C1381,1,28633.94,0.146,24454.76,16639.24,7815.52,0.31959095080058036,2025,12,Dec,Q4
SO00095,2023-01-19,West,Mumbai,Consumer,Distributor,Office Supplies,Paper,P10033,C1473,8,1164.49,0.0505,8845.07,5894.24,2950.83,0.33361296179679756,2023,1,Jan,Q1
SO00096,2023-11-01,East,Bhubaneswar,Consumer,Retail Store,Furniture,Tables,P10048,C1043,10,8507.1,0.55,38281.93,27857.52,10424.41,0.27230628131862733,2023,11,Nov,Q4
SO00097,2023-12-09,West,Ahmedabad,Corporate,Distributor,Office Supplies,Pens,P10068,C1334,7,934.91,0.275,4744.41,2521.99,2222.41,0.4684270541542573,2023,12,Dec,Q4
SO00098,2025-10-04,East,Patna,Home Office,Retail Store,Furniture,Chairs,P10074,C1351,10,12362.02,0.4639,66267.81,47042.95,19224.85,0.2901084251916579,2025,10,Oct,Q4
SO00099,2025-11-28,East,Patna,Corporate,Online,Office Supplies,Envelopes,P10022,C1141,4,677.89,0.203,2161.06,1031.99,1129.07,0.5224611995964943,2025,11,Nov,Q4
SO00100,2024-12-26,East,Kolkata,Corporate,Online,Office Supplies,Pens,P10039,C1060,10,825.66,0.4132,4845.02,3005.23,1839.79,0.3797280506582016,2024,12,Dec,Q4
SO00101,2025-05-06,North,Delhi,Consumer,Online,Furniture,Chairs,P10032,C1455,3,8295.34,0.4949,12569.89,8519.87,4050.02,0.32220011471858545,2025,5,May,Q2
SO00102,2024-10-11,South,Hyderabad,Consumer,Distributor,Furniture,Chairs,P10019,C1302,7,6450.63,0.3998,27101.54,21266.1,5835.44,0.21531765353555551,2024,10,Oct,Q4
SO00103,2024-07-07,Central,Nagpur,Consumer,Distributor,Office Supplies,Envelopes,P10044,C1517,9,602.79,0.1349,4693.03,2629.74,2063.28,0.43964773291455633,2024,7,Jul,Q3
SO00104,2023-06-09,East,Bhubaneswar,Corporate,Online,Office Supplies,Binders,P10055,C1303,3,495.11,0.0794,1367.45,799.92,567.53,0.41502797177227685,2023,6,Jun,Q2
SO00105,2023-07-27,South,Kochi,Corporate,Online,Furniture,Bookcases,P10021,C1286,8,9463.8,0.3316,50606.49,36602.91,14003.58,0.27671510116587816,2023,7,Jul,Q3
SO00106,2024-02-10,North,Lucknow,Corporate,Retail Store,Office Supplies,Paper,P10062,C1180,2,1110.62,0.2099,1755.05,1022.67,732.38,0.4172986524600439,2024,2,Feb,Q1
SO00107,2023-11-07,North,Chandigarh,Home Office,Distributor,Office Supplies,Pens,P10052,C1007,1,465.07,0.2359,355.35,215.71,139.64,0.39296468270719004,2023,11,Nov,Q4
SO00108,2023-03-14,South,Kochi,Corporate,Online,Technology,Accessories,P10080,C1110,2,24123.21,0.3516,31282.13,20610.98,10671.15,0.341126067822108,2023,3,Mar,Q1
SO00109,2025-04-01,West,Mumbai,Consumer,Online,Technology,Accessories,P10006,C1447,2,27397.26,0.3102,37796.94,20033.43,17763.51,0.46997217235046007,2025,4,Apr,Q2
SO00110,2024-11-02,North,Delhi,Consumer,Online,Furniture,Storage,P10009,C1083,3,9247.84,0.2664,20351.72,13283.27,7068.45,0.34731462500466787,2024,11,Nov,Q4
SO00111,2023-05-29,North,Delhi,Consumer,Retail Store,Technology,Accessories,P10050,C1422,4,27821.89,0.0677,103758.61,70771.53,32987.08,0.31792137539236504,2023,5,May,Q2
SO00112,2025-12-22,West,Surat,Consumer,Online,Furniture,Storage,P10079,C1246,6,5878.85,0.3148,24167.98,16773.95,7394.02,0.30594282186595656,2025,12,Dec,Q4
SO00113,2024-10-22,West,Pune,Corporate,Online,Technology,Accessories,P10063,C1395,2,4899.12,0.1059,8760.15,5234.56,3525.59,0.40245772047282297,2024,10,Oct,Q4
SO00114,2023-11-04,South,Kochi,Consumer,Online,Technology,Laptops,P10064,C1105,2,16969.21,0.0574,31991.53,21524.54,10466.99,0.3271800379662992,2023,11,Nov,Q4
SO00115,2023-01-17,West,Pune,Consumer,Online,Office Supplies,Binders,P10083,C1173,2,955.92,0.55,860.32,549.38,310.94,0.3614236563139297,2023,1,Jan,Q1
SO00116,2024-08-03,West,Ahmedabad,Consumer,Online,Furniture,Chairs,P10051,C1540,1,12481.85,0.1638,10437.22,7834.3,2602.92,0.24938824706195714,2024,8,Aug,Q3
SO00117,2024-03-17,North,Jaipur,Consumer,Online,Furniture,Storage,P10068,C1382,1,11452.43,0.5026,5695.92,4018.36,1677.57,0.29452134159187626,2024,3,Mar,Q1
SO00118,2023-06-18,Central,Raipur,Home Office,Retail Store,Furniture,Bookcases,P10015,C1522,8,7860.38,0.3435,41284.04,27729.94,13554.1,0.32831331429772864,2023,6,Jun,Q2
SO00119,2023-09-30,Central,Indore,Consumer,Retail Store,Technology,Phones,P10032,C1122,9,24404.2,0.2038,174879.92,112896.38,61983.54,0.35443486021722787,2023,9,Sep,Q3
SO00120,2023-02-08,Central,Indore,Corporate,Online,Office Supplies,Binders,P10022,C1345,8,899.3,0.2015,5744.73,3622.72,2122.01,0.36938376564259773,2023,2,Feb,Q1
SO00121,2025-05-09,North,Chandigarh,Corporate,Online,Technology,Phones,P10023,C1019,3,16724.0,0.2593,37164.75,25632.54,11532.2,0.31029941005926315,2025,5,May,Q2
SO00122,2024-02-17,North,Chandigarh,Corporate,Online,Furniture,Chairs,P10091,C1231,10,12159.88,0.3333,81069.27,64461.88,16607.39,0.20485431779513988,2024,2,Feb,Q1
SO00123,2025-07-11,West,Pune,Corporate,Online,Technology,Phones,P10010,C1020,10,24604.83,0.1371,212303.96,132313.49,79990.47,0.37677333008767244,2025,7,Jul,Q3
SO00124,2024-06-19,North,Delhi,Consumer,Retail Store,Technology,Laptops,P10003,C1526,10,8178.8,0.0422,78338.1,49757.73,28580.37,0.36483358672216964,2024,6,Jun,Q2
SO00125,2023-12-02,South,Chennai,Corporate,Retail Store,Office Supplies,Envelopes,P10058,C1542,3,1590.71,0.3705,3003.88,1719.25,1284.63,0.42765689707977683,2023,12,Dec,Q4
SO00126,2025-09-24,North,Jaipur,Consumer,Online,Office Supplies,Pens,P10070,C1401,1,777.63,0.1589,654.1,384.97,269.13,0.411450848494114,2025,9,Sep,Q3
SO00127,2024-10-21,West,Ahmedabad,Home Office,Retail Store,Technology,Laptops,P10019,C1563,9,25806.6,0.2608,171684.67,126345.23,45339.44,0.2640855470671901,2024,10,Oct,Q4
SO00128,2024-06-30,East,Kolkata,Consumer,Online,Office Supplies,Paper,P10024,C1596,10,1351.96,0.2464,10187.85,5783.23,4404.62,0.43234048400791136,2024,6,Jun,Q2
SO00129,2025-09-11,Central,Nagpur,Consumer,Online,Technology,Printers,P10044,C1582,3,15404.54,0.4302,26332.6,18754.34,7578.26,0.28779003972262523,2025,9,Sep,Q3
SO00130,2025-04-20,East,Kolkata,Corporate,Retail Store,Technology,Printers,P10015,C1472,4,20420.64,0.4304,46528.16,31444.1,15084.06,0.32419205917448696,2025,4,Apr,Q2
SO00131,2025-08-01,Central,Bhopal,Corporate,Retail Store,Technology,Printers,P10086,C1327,10,33153.3,0.101,298061.43,188574.36,109487.07,0.36733055330238473,2025,8,Aug,Q3
SO00132,2025-10-11,East,Kolkata,Home Office,Retail Store,Office Supplies,Paper,P10022,C1514,7,1339.92,0.1628,7852.76,4107.11,3745.65,0.4769851619048589,2025,10,Oct,Q4
SO00133,2025-12-16,West,Surat,Consumer,Retail Store,Furniture,Storage,P10007,C1032,8,8352.14,0.2196,52140.76,37509.43,14631.33,0.2806121353045103,2025,12,Dec,Q4
SO00134,2023-10-04,North,Lucknow,Corporate,Online,Technology,Laptops,P10066,C1447,5,31618.57,0.1245,138409.91,101207.64,37202.27,0.2687832829311138,2023,10,Oct,Q4
SO00135,2025-12-03,East,Guwahati,Consumer,Online,Furniture,Tables,P10036,C1297,2,9468.66,0.3476,12355.08,8752.47,3602.61,0.29158937052613176,2025,12,Dec,Q4
SO00136,2024-04-29,West,Pune,Consumer,Distributor,Office Supplies,Pens,P10033,C1040,10,703.05,0.55,3163.71,1994.72,1168.99,0.3694997329085156,2024,4,Apr,Q2
SO00137,2023-08-08,North,Delhi,Corporate,Distributor,Technology,Phones,P10004,C1162,4,20205.38,0.0838,74047.06,51206.39,22840.67,0.3084615378382342,2023,8,Aug,Q3
SO00138,2025-07-12,Central,Nagpur,Consumer,Retail Store,Furniture,Bookcases,P10060,C1211,1,6928.64,0.2901,4918.49,3648.39,1270.1,0.2582296599159498,2025,7,Jul,Q3
SO00139,2025-07-31,West,Surat,Consumer,Distributor,Technology,Printers,P10047,C1307,10,20446.26,0.1812,167418.52,119464.69,47953.83,0.2864308560367157,2025,7,Jul,Q3
SO00140,2023-12-04,West,Surat,Corporate,Retail Store,Furniture,Storage,P10072,C1001,3,8069.3,0.2742,17569.37,13021.19,4548.18,0.2588698399544207,2023,12,Dec,Q4
SO00141,2025-05-04,North,Jaipur,Consumer,Online,Technology,Laptops,P10097,C1210,5,15356.7,0.3014,53638.34,36933.34,16704.99,0.31143749042196317,2025,5,May,Q2
SO00142,2024-10-07,West,Pune,Consumer,Online,Furniture,Bookcases,P10088,C1424,4,11329.73,0.205,36027.99,25327.88,10700.11,0.2969943646592552,2024,10,Oct,Q4
SO00143,2023-09-27,Central,Nagpur,Corporate,Distributor,Technology,Printers,P10019,C1508,10,21891.77,0.2896,155527.75,119270.9,36256.85,0.23312142045390613,2023,9,Sep,Q3
SO00144,2025-07-31,East,Bhubaneswar,Corporate,Online,Technology,Phones,P10041,C1222,9,28219.26,0.2673,186081.34,113990.51,72090.84,0.38741573980496913,2025,7,Jul,Q3
SO00145,2023-03-09,Central,Nagpur,Corporate,Distributor,Office Supplies,Paper,P10021,C1469,7,611.69,0.3717,2690.27,1703.9,986.37,0.3666434967493969,2023,3,Mar,Q1
